id,status_group
50785,non functional
51630,functional
17168,functional
45559,non functional
49871,non functional
52449,non functional
24806,non functional
28965,non functional
36301,functional
54122,non functional
419,non functional
45750,non functional
653,non functional
14017,functional
44607,non functional
40228,non functional
27714,functional
28785,non functional
28330,functional
18532,non functional
69961,non functional
55083,functional
8691,functional
30331,non functional
70970,functional
61136,functional
28799,non functional
46825,non functional
44718,non functional
37350,functional
65738,functional
3271,functional
42658,functional
67523,non functional
37034,functional
42432,functional needs repair
27420,functional
707,functional
48489,functional
51008,non functional
72562,non functional
10275,non functional
53540,functional
43291,non functional
8813,functional
62343,non functional
1649,non functional
8822,functional
10352,functional
50878,non functional
15266,non functional
51956,non functional
44099,non functional
59,non functional
51359,non functional
15962,non functional
17853,non functional
42040,functional
72243,functional
63653,functional
26510,functional
72053,functional
29351,functional
51897,non functional
20376,functional
26804,functional
67303,non functional
69780,non functional
45374,non functional
54665,non functional
39341,non functional
8869,non functional
20691,non functional
19693,non functional
14321,functional
63059,non functional
67403,functional
28912,non functional
12549,functional needs repair
24328,non functional
13750,non functional
1574,non functional
44149,functional
53917,functional
22705,functional
66465,functional needs repair
15644,non functional
20773,non functional
33092,non functional
54392,functional
37850,non functional
5576,non functional
60840,functional needs repair
9971,functional needs repair
57508,non functional
25872,non functional
43978,functional
38181,functional
24325,non functional
2724,non functional
34794,functional needs repair
56525,non functional
63155,functional
67247,non functional
23387,functional
17873,functional needs repair
18197,functional
24834,functional
4091,non functional
33261,functional
44384,functional
62096,non functional
64554,non functional
68314,non functional
53,functional
23426,non functional
38259,non functional
16631,non functional
43162,functional
44492,functional
38884,non functional
13690,non functional
60335,non functional
31856,non functional
67891,functional
25564,functional
55293,functional
31866,functional needs repair
71178,non functional
60279,functional
28615,functional needs repair
8744,non functional
48308,non functional
49626,non functional
38098,functional
30309,non functional
8015,functional
3496,functional
56971,functional needs repair
68616,non functional
8646,functional
74104,non functional
37501,non functional
33001,non functional
69202,functional
68409,functional needs repair
51847,non functional
55647,functional
17923,functional needs repair
71743,non functional
51539,non functional
73819,non functional
66881,functional
58768,functional needs repair
2648,functional
68933,non functional
12427,functional
